#{"t_start": 1612627554.8002896, "env_id": "Scarecrow-v0"}
r,l,t
-4901.7,1000,1275.864184
-4136.170268,1000,1280.8206
-4385.85,1000,1282.72586
-5801.7018,1000,1288.09925
-4525.852701,1000,1290.080887
-5215.874166,1000,1295.165038
-5115.151212,1000,1297.324288
-4740.36413,1000,1302.44065
-4930.612718,1000,1304.339168
-3691.721559,1000,1309.559259
-5455.860779,1000,1311.643256
-5440,1000,1316.934794
-4007.287835,1000,1318.981892
-3013.099444,1000,1323.993603
-4353.123611,1000,1326.092618
-5133.085134,1000,1331.14572
-4653.101299,1000,1333.374635
-5910,1000,1338.416634
-4471.726867,1000,1340.555066
-5321.992749,1000,1346.023071
-4084.523666,1000,1348.114956
-5021.734946,1000,1353.105365
-5030,1000,1354.998674
-5387.235134,1000,1360.016447
-3095.85,1000,1362.476547
-6130.052701,1000,1367.762134
-4791.7,1000,1369.75889
-2847.24052,1000,1375.122853
-3910,1000,1377.232784
-4607.235134,1000,1379.201743
-6065.852701,1000,1384.173403
-3148.933333,1000,1386.413403
-5575.85,1000,1391.506428
-7056.168467,1000,1393.556211
-4171.708987,1000,1398.617427
-3668.937835,1000,1400.637406
-3531.7,1000,1406.010839
-6274.468467,1000,1408.058172
-6017.55,1000,1413.188445
-2757.558102,1000,1415.51779
-4673.101299,1000,1420.573677
-5391.721559,1000,1422.565157
-3867.558102,1000,1427.657232
-3281.702701,1000,1429.909415
-4913.09052,1000,1435.107817
-1270,1000,1437.205592
-5955.85,1000,1442.295256
-6240,1000,1444.438828
-3340.35,1000,1451.339272
-6470.666667,1000,1453.343273
-5481.705401,1000,1459.156269
-6130.316667,1000,1461.422853
-4910.466667,1000,1467.251252
-3990,1000,1469.287792
-4670.683333,1000,1474.662613
-3746.283848,1000,1476.717803
-7687.24052,1000,1481.982471
-5151.783333,1000,1484.152255
-6284.788735,1000,1489.334662
-3331.786034,1000,1491.410819
-5453.659903,1000,1496.858688
-4634.783333,1000,1499.173303
-4914.475653,1000,1504.2631
-4683.408102,1000,1506.333373
-4222.983333,1000,1511.36967
-3673.086034,1000,1513.488486
-3601.7,1000,1518.694794
-7077.235134,1000,1520.72242
-5323.083333,1000,1526.26682
-6160.321168,1000,1528.237564
-3757.5518,1000,1533.355397
-4145.860779,1000,1535.310771
-6193.09052,1000,1537.322814
-5123.410803,1000,1542.351023
-3850,1000,1544.281036
-5358.584285,1000,1549.442087
-5200.319367,1000,1551.457908
-4684.718467,1000,1556.789208
-6181.7,1000,1559.095027
-4314.799514,1000,1564.259353
-5087.235134,1000,1566.30934
-4389.233333,1000,1571.428094
-3957.555401,1000,1573.647656
-5783.083333,1000,1578.685817
-5340,1000,1580.620461
-5091.983333,1000,1586.090582
-4008.937835,1000,1588.099851
-6427.233333,1000,1593.09884
-4247.235134,1000,1595.142837
-4300.661703,1000,1600.323131
-5610.283333,1000,1602.44345
-5500.316667,1000,1607.544997
-6080.318467,1000,1609.702045
-4785.85,1000,1615.137805
-5046.175669,1000,1617.103809
-3260.628812,1000,1622.230806
-4380.916667,1000,1624.255807
-2501.952701,1000,1629.210365
-5713.086034,1000,1631.116654
-5110,1000,1636.117878
-3769.5,1000,1638.112019
-4426.430768,1000,1643.374743
-5203.09052,1000,1645.684167
-4943.087835,1000,1650.722758
-8137.233333,1000,1652.676871
-5445.85,1000,1657.733421
-4185.85,1000,1659.705762
-3834.2018,1000,1664.674818
-4320.356944,1000,1666.893595
-4488.933333,1000,1672.070207
-6621.702701,1000,1674.146735
-5191.016667,1000,1679.44171
-5437.261833,1000,1681.598321
-5845.85,1000,1686.606464
-6023.083333,1000,1688.651449
-5480.283333,1000,1690.647579
-5127.55,1000,1696.005702
-4257.249444,1000,1698.181831
-4991.702701,1000,1703.91776
-3103.09052,1000,1706.300966
-4811.790543,1000,1712.039873
-5773.499155,1000,1714.073814
-4745.85,1000,1720.002446
-3581.559062,1000,1722.189831
-4473.085134,1000,1728.004479
-4391.666667,1000,1730.398804
-5873.470738,1000,1737.382832
-6237.24052,1000,1740.622798
-3790,1000,1747.931784
-2818.943228,1000,1750.53657
-2867.261833,1000,1756.592374
-6073.42696,1000,1758.672431
-6211.7,1000,1765.062337
-2337.233333,1000,1767.330596
-3842.057808,1000,1773.92379
-4493.251983,1000,1776.046314
-5117.233333,1000,1781.960075
-3707.63061,1000,1784.10562
-5333.491389,1000,1790.139804
-4880.410628,1000,1792.302804
-5269.001978,1000,1798.556672
-3232.423919,1000,1800.781836
-3836.932754,1000,1806.741656
-2743.316401,1000,1808.781337
-4667.616916,1000,1815.125799
-3997.24052,1000,1817.225829
-3914.915784,1000,1822.788676
-6113.123611,1000,1825.119426
-5607.249444,1000,1830.411865
-4423.037012,1000,1832.45379
-4409.031113,1000,1837.63856
-1994.195166,1000,1839.861829
-5484.512718,1000,1845.276853
-2529.510779,1000,1847.314497
-3327.235134,1000,1853.684507
-5720,1000,1856.022823
-5477.649748,1000,1858.096822
-5087.34371,1000,1863.941759
-3784.468467,1000,1866.012049
-6707.24052,1000,1871.966806
-3776.091638,1000,1874.001805
-3928.226083,1000,1879.929821
